path,size_mb,tracked_by_git,untracked,ignored_by_git,threshold_bucket,recommended_action
structural_compounding_lab/output/rolling_five_year_mission_viability_audit_001/diagnostics/window_equity_curves.csv,35.2929,False,True,False,>25MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
backtest/output/validation/weighted_impulse_breakout_fullrange/weighted_broad_current/full_range/trades.csv,34.856,False,False,True,>25MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
data_storage/TRXUSDT/5m/TRXUSDT_5m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,34.8397,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/XRPUSDT/5m/XRPUSDT_5m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,32.952,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/SOLUSDT/5m/SOLUSDT_5m_2020-09-22T06.30.00_to_2026-05-23T00.00.00.csv,32.6897,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/BNBUSDT/5m/BNBUSDT_5m_2020-09-22T06.30.00_to_2026-05-23T00.00.00.csv,32.5951,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/SOLUSDT/5m/SOLUSDT_5m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,32.3241,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/BNBUSDT/5m/BNBUSDT_5m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,32.2012,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AAVEUSDT/5m/AAVEUSDT_5m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,31.5561,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/LINKUSDT/5m/LINKUSDT_5m_2020-10-15T03.00.00_to_2026-05-23T00.00.00.csv,31.4857,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
data_storage/AVAXUSDT/5m/AVAXUSDT_5m_2020-09-22T06.30.00_to_2026-05-23T00.00.00.csv,31.355,False,False,True,>25MB,DO_NOT_COMMIT_REDOWNLOAD_ON_MAC
dashboard/.next/cache/webpack/server-production/0.pack,29.8929,False,False,True,>25MB,DO_NOT_COMMIT_CACHE
dashboard/.next/cache/webpack/client-production/0.pack,28.8102,False,False,True,>25MB,DO_NOT_COMMIT_CACHE
live_sim/output/cockpit_launcher_20260606_184809/live_engine.stdout.log,27.1595,False,False,True,>25MB,DO_NOT_COMMIT_REGENERATE_ON_MAC
